Massachusetts,80825.60
Des Moines Metropolitan Area,84655.56
Brazil,82500.00
Pennsylvania,82500.00
QC,82500.00
IA,80305.33
Greater Montgomery Area,82500.00
Louisiana Metropolitan Area,107777.78
Greater Jefferson City Area,82500.00
Illinois Metropolitan Area,70455.00
Erie-Meadville Area,76666.67
MO,80405.81
Metro Jacksonville,94166.67
Greater Houston,90637.71
Greater Biloxi Area,82500.00
State College-DuBois Area,82500.00
Pueblo-Cañon City Area,56960.00
La Crosse-Onalaska Area,109375.00
Texas Metropolitan Area,86374.47
Shreveport-Bossier City Area,82500.00
Greater Cleveland,91965.12
Oklahoma,99196.75
New Jersey,89666.67
KY,78591.34
MA,87357.43
VT,79707.88
ND,79638.87
Indiana,82500.00
Greater Syracuse-Auburn Area,88629.20
Greater Amarillo Area,82500.00
WI,81508.29
Greater Richmond Region,79678.75
NH,80270.41
Tulsa Metropolitan Area,85416.67
Los Angeles Metropolitan Area,101532.01
Wausau-Stevens Point Area,82500.00
Kansas Metropolitan Area,81657.33
Maui,77485.76
Greater Fort Collins Area,71640.00
OK,79344.39
Greater Salinas Area,82500.00
CA,94556.81
Lawton Area,49920.00
IL Area,82500.00
Washington DC-Baltimore Area,94498.60
Greater Hartford,98915.83
Detroit Metropolitan Area,84812.50
Greater Kennewick Area,82500.00
GA,85012.47
NC Area,82500.00
Missouri Area,82500.00
Memphis Metropolitan Area,87835.00
AR Area,101243.50
Eau Claire-Menomonie Area,78648.97
Raleigh-Durham-Chapel Hill Area,84587.75
Greater Tampa Bay Area,84592.61
Greater Jackson Area,82500.00
Greater Eugene-Springfield Area,92083.33
Little Rock Metropolitan Area,89705.88
Arizona,77944.55
MS,79827.11
Greater Goldsboro Area,82500.00
Minnesota,82500.00
Brownsville Metropolitan Area,82500.00
CO,83575.06
New York Metropolitan Area,89842.38
Oklahoma City Metropolitan Area,83016.22
Greater Madison Area,75742.77
Greater Harrisburg Area,82500.00
Buffalo-Niagara Falls Area,80658.00
Gainesville Metropolitan Area,82500.00
Greater Bend Area,105750.00
Canada,82500.00
The Gambia,82500.00
Tennessee,82500.00
Arkansas,82500.00
Waterloo-Cedar Falls Area,63500.00
Alabama Area,84318.23
Greater Kalamazoo Area,82500.00
Greater Macon,96727.78
North Port-Sarasota Area,82500.00
SC,80735.02
Greater Missoula Area,82500.00
AK,85800.57
AZ Area,82500.00
WY,81613.46
Dayton Metropolitan Area,82500.00
Oregon,83837.15
Greater Panama City Area,82500.00
KS,78560.44
Greater Milwaukee,85892.86
Midland-Odessa Area,82500.00
WA,93302.74
Lancaster Metropolitan Area,82500.00
Greater Lansing,95788.89
California,84508.31
Youngstown-Warren area,93750.00
Beaumont-Port Arthur Area,80833.33
Greater New Orleans Region,90000.00
Greater Roanoke Area,82500.00
Washington,77963.63
ME,79511.92
TN,81166.43
FL,82353.68
Virginia Metropolitan Area,65690.00
Northeastern United States,82500.00
Illinois Area,82500.00
Albuquerque-Santa Fe Metropolitan Area,91700.00
Wisconsin Metropolitan Area,81666.67
Nebraska Metropolitan Area,75409.09
Greater Charlottesville Area,82500.00
North Carolina,85252.11
Tallahassee Metropolitan Area,71333.33
Georgia,49322.86
Greater Terre Haute Area,82500.00
Greater Minneapolis-St. Paul Area,84235.58
Bellingham Metropolitan Area,49434.00
Utah,82614.29
Ohio Metropolitan Area,83648.06
Greater San Luis Obispo Area,81272.40
NJ,86956.12
NV,82086.23
Greater Mansfield Area,82500.00
Greensboro--Winston-Salem--High Point Area,86217.39
Appleton-Oshkosh-Neenah Area,83863.64
Houma-Thibodaux Area,82500.00
Greater Pittsburgh Region,83372.59
Imputed,0.00
MI,80818.92
Greater Phoenix Area,89180.31
Michigan,73950.00
Greater Bangor Area,82500.00
Maryland,82500.00
Grand Rapids Metropolitan Area,76353.86
Greater Colorado Springs Area,114361.30
TX,84023.39
Atlanta Metropolitan Area,85115.93
Greater Dothan,68866.67
Bowling Green Metropolitan Area,82500.00
South Carolina,82500.00
Greater Chicago Area,96933.72
Mobile Metropolitan Area,84166.67
Greater Ocala Area,82500.00
Greater Yakima Area,82500.00
Oregon Metropolitan Area,90678.10
Twin Falls Area,82500.00
Georgia Area,72333.33
Nebraska,98197.70
Greater St. Louis,85844.72
Greater Bloomington Area,69373.40
AR,79861.99
CT,85689.19
PA,82484.91
Greater Fort Wayne,53040.00
Pensacola Metropolitan Area,85625.00
New York,78393.23
Missouri,82500.00
Greater Rockford Area,82500.00
Iowa City-Cedar Rapids Area,82500.00
Greater Flagstaff Area,81484.00
Indiana Metropolitan Area,95416.67
Huntsville-Decatur-Albertville Area,82500.00
Alaska,71640.00
Greater Indianapolis,82990.79
Utica-Rome Area,86983.33
Spokane-Coeur d'Alene Area,82500.00
Topeka Metropolitan Area,70722.42
ON,82500.00
Salt Lake City Metropolitan Area,86826.55
Greater Chico Area,92370.50
Denver Metropolitan Area,87974.65
Greater Grand Junction Area,71666.67
Waco Area,82500.00
Lake Charles-Jennings Area,82500.00
Crestview-Fort Walton Beach-Destin Area,100000.00
DC,91056.78
ID,80366.06
New Bern-Morehead City Area,77592.00
AL,80592.74
Greater Salisbury Area,82500.00
OR,84525.76
HI,77376.46
MT,78241.28
Greater Boston,88199.29
Greater Morgantown Area,70715.00
Sheboygan Metropolitan Area,82500.00
Redding-Red Bluff Area,82500.00
Louisiana,82500.00
VA,86028.07
UT,80170.82
Knoxville Metropolitan Area,78659.00
Greater Wilmington Area,74944.00
Charlotte Metro,85023.24
MD,85113.25
Tyler-Jacksonville Area,82500.00
Nevada,82500.00
Las Vegas Metropolitan Area,82841.04
Nashville Metropolitan Area,82886.71
OH,81750.22
Greater Idaho Falls,82500.00
NM,81808.68
South Bend-Mishawaka Region,68696.00
Greater Sacramento,99642.70
Greater Pittsfield Area,82500.00
Metropolitan Fresno,79069.92
Urbana-Champaign Area,82500.00
Baton Rouge Metropolitan Area,81269.23
Greater Myrtle Beach Area,82500.00
District of Columbia,82500.00
Greater Augusta Area,107083.33
Maine Metropolitan Area,76360.00
Medford-Grants Pass Area,82500.00
Killeen-Temple Area,82500.00
Modesto-Merced Area,69330.00
Peoria Metropolitan Area,78055.56
WV,82561.22
Greater Corpus Christi Area,83807.69
Greater Enid Area,56160.00
Greater Columbus Area,82500.00
Greater Tuscaloosa Area,82500.00
Greater Orlando,79214.41
Honolulu Metropolitan Area,73184.00
NE,79930.89
Illinois,278750.00
Colorado,75391.84
Miami-Fort Lauderdale Area,83856.87
IL,85539.65
Greater Bakersfield Area,82500.00
NY,93030.63
SD,76725.79
Greater Scranton Area,74166.67
Santa Barbara-Santa Maria Area,82500.00
Greater Billings Area,82500.00
San Angelo Area,82500.00
NC,83740.33
AZ,82202.21
Florida,82182.59
Boise Metropolitan Area,130625.00
North Carolina Metropolitan Area,86875.00
Lubbock-Levelland Area,68290.00
Greater Burlington Area,254340.00
South Holland,82500.00
Alabama,82500.00
Greater Seattle Area,105692.54
RI,81919.97
New Mexico,66370.67
Walla Walla Area,104000.00
Greater Savannah Area,77845.71
Philippines,82500.00
Dallas-Fort Worth Metroplex,90097.68
Greater Lynchburg Area,82500.00
Hawaii,85191.67
LA,81914.85
South Dakota,82500.00
Greater Philadelphia,94044.62
Greater Anchorage Area,82500.00
Johnson City-Kingsport-Bristol Area,80000.00
El Paso Metropolitan Area,82500.00
IN,80457.68
Greater Palm Bay-Melbourne-Titusville Area,82500.00
Greater Bismarck Area,94987.33
Greater Asheville,70000.00
Argentina,82500.00
San Diego Metropolitan Area,102236.02
Valdosta Area,82500.00
Minnesota Area,82500.00
Greater Reno Area,69931.25
Cincinnati Metropolitan Area,85209.02
Massachusetts Metropolitan Area,92338.82
Greater Lexington Area,88333.33
NAMER,82500.00
Greater Chattanooga,58055.00
South Carolina Metropolitan Area,82155.02
Wisconsin,82500.00
Greater McAllen Area,60000.00
New York City Metropolitan Area,106076.32
Visalia-Hanford Area,82500.00
North Carolina Area,82500.00
Kansas City Metropolitan Area,83920.31
Blacksburg-Christiansburg-Radford Area,40560.00
South Carolina Area,89095.20
MN,82525.34
Cape Coral Metropolitan Area,106875.00
United States,95565.68
Quad Cities Metropolitan Area,82500.00
Rocky Mount-Wilson Area,93033.33
Virginia,80333.75
Ohio,89647.37
Louisville Metropolitan Area,86143.87
South Africa,82500.00
MI Area,88750.00
College Station-Bryan Area,87142.86
DE,84203.33
Greater Sioux Falls Area,79613.33
San Francisco Bay Area,119269.81
Texas,80640.25
Delaware,105250.00
Greater Tucson Area,101072.00
Omaha Metropolitan Area,79108.87
